MapDate,AreaOfInterest,OT,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,date,start_date,end_date
20240514,Total,73.61,26.39,11.71,4.07,0.68,0.05,2024-05-14,2024-05-20,1,2024-05-14,2024-05-14,2024-05-20
20240507,Total,70.53,29.47,12.66,4.29,0.67,0.05,2024-05-07,2024-05-13,1,2024-05-07,2024-05-07,2024-05-13
20240430,Total,68.36,31.64,14.23,4.83,0.71,0.05,2024-04-30,2024-05-06,1,2024-04-30,2024-04-30,2024-05-06
20240423,Total,67.72,32.28,15.14,4.74,0.71,0.05,2024-04-23,2024-04-29,1,2024-04-23,2024-04-23,2024-04-29
20240416,Total,67.21,32.79,15.02,4.38,0.9,0.12,2024-04-16,2024-04-22,1,2024-04-16,2024-04-16,2024-04-22
20240409,Total,67.37,32.63,14.66,4.31,0.92,0.12,2024-04-09,2024-04-15,1,2024-04-09,2024-04-09,2024-04-15
20240402,Total,65.53,34.47,15.12,4.61,0.99,0.12,2024-04-02,2024-04-08,1,2024-04-02,2024-04-02,2024-04-08
20240326,Total,64.8,35.2,15.18,4.83,1.0,0.12,2024-03-26,2024-04-01,1,2024-03-26,2024-03-26,2024-04-01
20240319,Total,63.0,37.0,17.78,5.77,1.2,0.12,2024-03-19,2024-03-25,1,2024-03-19,2024-03-19,2024-03-25
20240312,Total,61.7,38.3,18.66,6.43,1.27,0.12,2024-03-12,2024-03-18,1,2024-03-12,2024-03-12,2024-03-18
20240305,Total,60.25,39.75,18.32,6.54,1.27,0.12,2024-03-05,2024-03-11,1,2024-03-05,2024-03-05,2024-03-11
20240227,Total,60.65,39.35,18.09,6.51,1.25,0.12,2024-02-27,2024-03-04,1,2024-02-27,2024-02-27,2024-03-04
20240220,Total,65.29,34.71,16.62,6.39,1.21,0.12,2024-02-20,2024-02-26,1,2024-02-20,2024-02-20,2024-02-26
20240213,Total,66.74,33.26,16.32,6.44,1.29,0.15,2024-02-13,2024-02-19,1,2024-02-13,2024-02-13,2024-02-19
20240206,Total,64.98,35.02,17.79,7.73,1.63,0.23,2024-02-06,2024-02-12,1,2024-02-06,2024-02-06,2024-02-12
20240130,Total,62.88,37.12,19.72,9.01,1.93,0.25,2024-01-30,2024-02-05,1,2024-01-30,2024-01-30,2024-02-05
20240123,Total,58.2,41.8,22.95,10.86,3.72,0.57,2024-01-23,2024-01-29,1,2024-01-23,2024-01-23,2024-01-29
20240116,Total,57.19,42.81,24.13,11.25,4.11,0.6,2024-01-16,2024-01-22,1,2024-01-16,2024-01-16,2024-01-22
